Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total,Year
United States,76014500,28989200,37613200,82950300,39735100,44909900,310212200,2014
Alabama,1144000,443900,534100,1239200,626400,726500,4714100,2014
Alaska,192400,77000,92400,184700,92300,67900,706600,2014
Arizona,1671800,629800,763700,1646800,786200,1057900,6556200,2014
Arkansas,736000,255600,330800,742500,365900,449100,2880000,2014
California,9474800,3847100,4986800,10292400,4478100,4902400,37981600,2014
Colorado,1290500,489100,695500,1411500,664200,666300,5217000,2014
Connecticut,804400,290500,382300,986300,482100,534900,3480400,2014
Delaware,211600,83900,101600,235800,123800,148600,905300,2014
District of Columbia,117400,64600,133100,168700,67800,71800,623500,2014
Florida,4213000,1714600,2146800,5075100,2552600,3728900,19431100,2014
Georgia,2584000,923700,1180500,2723600,1162300,1218700,9792900,2014
Hawaii,313500,116600,170100,344600,178500,224900,1348100,2014
Idaho,444300,149600,182500,393200,198900,230500,1598800,2014
Illinois,3094700,1170100,1557900,3418400,1609800,1718400,12569400,2014
Indiana,1621300,593700,738200,1696100,831600,905800,6386700,2014
Iowa,744700,271000,349100,766600,401900,468600,3002100,2014
Kansas,747600,268100,335200,704100,358800,396900,2810700,2014
Kentucky,1037200,387100,484100,1155200,573200,632000,4268800,2014
Louisiana,1153700,441200,570000,1153600,578400,611500,4508500,2014
Maine,264100,102300,131500,354400,206600,234900,1293800,2014
Maryland,1397000,515800,719900,1628900,762500,795200,5819300,2014
Massachusetts,1437200,597300,802700,1813900,877500,977800,6506500,2014
Michigan,2288000,929600,1050300,2569200,1356200,1489400,9682700,2014
Minnesota,1315900,462200,678600,1416600,710400,746700,5330400,2014
Mississippi,760400,269800,323400,749000,368200,416000,2886800,2014
Missouri,1427200,534800,703000,1530000,782700,892600,5870200,2014
Montana,229800,95200,110000,243000,149600,166100,993700,2014
Nebraska,485300,161900,223200,459800,233500,260000,1823700,2014
Nevada,685800,259200,351300,759100,342200,397700,2795200,2014
New Hampshire,279200,109400,132000,368000,196200,201700,1286500,2014
New Jersey,2090600,746900,1002000,2498000,1148200,1270600,8756200,2014
New Mexico,517500,206800,233900,496900,270500,311000,2036700,2014
New York,4358300,1828500,2487400,5265900,2478800,2797400,19216400,2014
North Carolina,2370300,872400,1097900,2640000,1232200,1420100,9632900,2014
North Dakota,170700,83300,94700,168300,92200,99300,708400,2014
Ohio,2716600,997400,1284600,2983500,1559200,1729000,11270300,2014
Oklahoma,974500,361900,456000,947200,465100,544900,3749500,2014
Oregon,881500,340100,487200,1018900,538600,623300,3889600,2014
Pennsylvania,2778000,1072200,1432100,3272400,1759700,2053700,12368000,2014
Rhode Island,221400,96200,120400,275700,139900,160200,1013700,2014
South Carolina,1120500,423600,532700,1227900,626400,743300,4674300,2014
South Dakota,214600,77700,96500,200900,110100,121900,821600,2014
Tennessee,1544200,593800,731500,1709900,839900,955400,6374800,2014
Texas,7378100,2584900,3377300,7000600,2927300,3011800,26280100,2014
Utah,936000,311100,391100,685900,277100,290600,2891800,2014
Vermont,124200,51100,64000,162600,95700,102500,6.00E+05,2014
Virginia,1937000,733100,9.75E+05,2212600,1031700,1117100,8006000,2014
Washington,1651200,630600,881700,1845500,906500,972100,6887600,2014
West Virginia,388400,156300,189900,470100,266300,320600,1791600,2014
Wisconsin,1333400,514100,644000,1493500,770200,848400,5603600,2014
Wyoming,140800,52600,73400,143900,81100,76700,568500,2014
Puerto Rico,819900,366000,373900,911700,432100,610400,3514000,2014